url,name,proteins,fats,carbohydrates,calories,category,price,availability,average_rating,rating_count,imgUrl,description,content,weight,pro/cal,pri/we,html_path,last_upd_time,fetchErr
https://www.ozon.ru/product/kvas-2-l-ozon-fresh-zhivoy-traditsionnyy-313179165/,"Квас 2 л, Ozon fresh Живой Традиционный",0,0,8.0,32,Ozon fresh#Вода и напитки#Газировка и холодный чай#Квас#Ozon fresh,205,1,4.9,6835,https://cdn1.ozone.ru/s3/multimedia-1-c/7349625768.jpg,"Внешний вид упаковки может отличаться от фото, так как товар проходит ребрендинг.   Квас Ozon fresh – по-настоящему живой квас. Наш квас содержит в себе живые дрожжи и бродит в бутылке, не подвергается тепловой обработке (непастеризованный), не фильтруется, таким образом полностью сохраняя свои первозданные свойства.

В изготовлении кваса не используются консерванты, красители и прочая «химия». Натуральный продукт со вкусом из детства. Производится по ГОСТу 31494-2021.","специально подготовленная вода, сахар, концентрат квасного сусла (мука ржаная, мука кукурузная, солод ржаной ферментированный и неферментированный, солод ячменный), дрожжи хлебопекарные.",2000,0.0,0.1025,,2025-06-13 14:07:15,
https://www.ozon.ru/product/voda-mineralnaya-borjomi-prirodnaya-lechebno-stolovaya-v-stekle-0-5-l-1526948555/,"Вода минеральная Borjomi природная лечебно-столовая в стекле, 0,5 л",,,,,Ozon fresh#Вода и напитки#Вода#Газированная#Borjomi,139,1,4.9,47298,https://cdn1.ozone.ru/s3/multimedia-1-m/7572608914.jpg,"Borjomi – природная гидрокарбонатно-натриевая минеральная вода с   минерализацией 5,0-7,5 г/л. Рожденная в недрах Кавказских гор, она бьет из   земли горячим ключом в долине Боржоми, на территории крупнейшего в Европе   Грузинского Национального парка ""Боржоми-Харагаули"". Благодаря   уникальному комплексу минералов вулканического происхождения, эта   природная минеральная вода действует как ""душ изнутри"" и прекрасно очищает   организм. Зарождаясь на глубине 8000 м и поднимаясь сквозь слои вулканических пород,   вода Borjomi насыщается п риродной композицией из более чем 60 полезных   минералов.  Разлито на месте добычи из Боржомского месторождения минеральных вод   (скв.№25Э,41р). Показания по лечебному применению: болезни пищевода, хронический гастрит  с нормальной и повышенной секреторной функцией желудка, язвенная болезнь  желудка и двенадцатиперстной кишки, болезни кишечника, болезни печени,  желчного пузыря и желчевыводящих путей, болезни поджелудочной железы,  нарушение органов пищеварения после оперативных вмешательств по поводу  язвенной болезни желудка, постхолецистэктомиче­ские синдромы, болезни  обмена веществ: сахарный диабет, ожирение, болезни мочевыводящих путей.  При вышеуказанных заболеваниях применяется только вне фазы обострения.","Состав мг/л: кальций - 20-150, магний - 20-150, натрий - 1000-2000, гидрокарбонаты - 3500-5000, хлориды - 250-500.",500,0,0.278,,2025-06-13 14:07:15,
https://www.ozon.ru/product/sok-ohlazhdennyy-j7-fresh-taste-tsitrusovyy-miks-0-85-l-1170742333/,"Сок охлажденный J7 Fresh Taste Цитрусовый Микс, 0,85 л",0,0,9.50,40,Ozon fresh#Вода и напитки#Соки и морсы#Фруктовые#J-7,219,1,4.9,1334,https://cdn1.ozone.ru/s3/multimedia-1-q/7320317810.jpg,"Сок охлажденный J7 Fresh Taste Цитрусовый Микс - это прохладительный напиток, состоящий из смеси цитрусовых фруктов. Он представляет собой освежающий и вкусный сок, который может быть употреблен как самостоятельный напиток или использован в качестве основы для коктейлей.

Упаковка сока охлажденного J7 Fresh Taste Цитрусовый Микс имеет объем 0,85 литра. Это удобный размер, который можно взять с собой в дорогу, на пикник или просто наслаждаться им дома.","Яблочный сок, грейпфрутовый сок, апельсиновый сок.",850,0.0,0.2576470588235294,,2025-06-13 14:07:15,
https://www.ozon.ru/product/limonad-chernogolovka-kola-bez-sahara-1-5-l-1508809514/,"Лимонад Черноголовка Кола без сахара, 1,5 л",0,0,0,0.40,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Черноголовка,105,1,4.9,116981,https://cdn1.ozone.ru/s3/multimedia-1-b/7572608867.jpg,"Кола без сахара Черноголовка – такая же бодрящая, освежающая и вкусная, как и классическая! Любимый напиток для тех, кто ценит истинный вкус и следит за фигурой!",,1500,0.0,0.07,,2025-06-13 14:07:16,
https://www.ozon.ru/product/gazirovannyy-napitok-cola-1-5-l-evervess-940829178/,"Газированный напиток Cola 1,5 л, Evervess",0,0.0,4.5,18,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Evervess,140,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-e/7541909942.jpg,"Evervess Cola – освежающая кола в новом стильном дизайне!
Потрясающий вкус оригинальной колы и приятное шипение миллионов пузырьков дарят наслаждение от газировки с первого глотка. Меньше калорий по сравнению с напитком безалкогольным сильногазированным «Эвервесс «Кола» (Cola)». Газированные напитки Evervess созданы для тебя и твоего удовольствия!

• Оригинальная кола
• Яркий освежающий вкус
• Меньше калорий по сравнению с напитком безалкогольным сильногазированным «Эвервесс «Кола» (Cola)»
• Пейте охлажденным
• Evervess - бренд с более полувековой историей опыта производства газированных напитков
• Международные стандарты от ООО ""ПепсиКо Холдингс""
• Газировка 1,5 литра в пластиковой бутылке на компанию
• Другие форматы: 0,25л стекло, 0,33л банка и 0,5л, 1л ПЭТ бутылки
","вода, сахар, краситель E150d, регулятор кислотности Е338, ароматизаторы, ароматизатор с кофеином, стабилизатор Е414, подсластители (Е950, Е951, Е952, Е954), консервант Е202",1500,0.0,0.09333333333333334,,2025-06-13 14:07:16,
https://www.ozon.ru/product/voda-negazirovannaya-svyatoy-istochnik-so-vkusom-limona-1-5-l-1526948578/,"Вода негазированная Святой Источник со вкусом лимона, 1,5 л",0,0,2.5,10,Ozon fresh#Вода и напитки#Вода#Негазированная#Святой Источник,99,1,4.9,39384,https://cdn1.ozone.ru/s3/multimedia-1-u/7572608922.jpg,"«Святой Источник» #совкусом лимон - это безалкогольный негазированный напиток с освежающим фруктовым вкусом. Яркая новинка в самом большом сегменте вкусовой воды. Вкус сочного лимона, чистая вода, рожденная в артезианских глубинах, низкое содержание сахара и отсутствие красителей – удовольствие для любителей воды #cовкусом.",,1500,0.0,0.066,,2025-06-13 14:07:16,
https://www.ozon.ru/product/gazirovannyy-napitok-evervess-cola-bez-saxara-2-l-1040744188/,"Газированный напиток Evervess Cola Без саxара, 2 л",0,0,11.10,44,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Evervess,183,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-d/7576183561.jpg,"Evervess Cola Zero Sugar – 100% вкуса, 0% сахара. Все те же эмоции с первого глотка теперь в новом дизайне. Все та же кола, но без сахара.

Evervess Cola Zero Sugar – это:
​• Потрясающе вкусная кола без сахара
• Бренд с более полувековой историей опыта производства газированных напитков
• Международные стандарты от ООО ""ПепсиКо Холдингс""​​​
• Удобные форматы: 0,25л стекло, 0,5л, 1л и 2л ПЭТ бутылки
• Газировка 2 литра в пластиковой бутылке на компанию
",,2000,0.0,0.0915,,2025-06-13 14:07:16,
https://www.ozon.ru/product/gazirovannyy-napitok-cola-bez-saxara-1-l-evervess-1526948585/,"Газированный напиток Cola Без саxара 1 л, Evervess",0,0,0.10,0.40,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Evervess,109,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-2/7541910110.jpg,"Evervess Cola Zero Sugar – освежающая кола БЕЗ САХАРА в новом стильном дизайне!
Оригинальная кола с ярким насыщенным вкусом дарит наслаждение от газировки с первого глотка. Бодрящая волна миллионов пузырьков Эвервесс Колы - это потрясающий вкус без компромиссов.
Газированные напитки Эвервесс создана для тебя и твоего удовольствия!

• Кола без сахара
• Яркий освежающий вкус
• Энергетическая ценность (на 100 мл): 0,4 ккал
• Пейте охлажденным
• Evervess - бренд с более полувековой историей опыта производства газированных напитков
• Международные стандарты от ООО ""ПепсиКо Холдингс""
","вода, краситель E150d, регулятор кислотности Е338, ароматизатор, кофеин (не более 150 мг/л), стабилизатор Е414, подсластители (Е950, Е951, Е952, Е954)",1000,0.0,0.109,,2025-06-13 14:07:17,
https://www.ozon.ru/product/sok-ohlazhdennyy-j7-fresh-taste-apelsinovyy-0-85-l-175332317/,"Сок охлажденный J7 Fresh Taste Апельсиновый, 0,85 л",0.7,0,11,45,Ozon fresh#Вода и напитки#Соки и морсы#Фруктовые#J-7,260,1,5.0,5285,https://cdn1.ozone.ru/s3/multimedia-1-k/7349630348.jpg,"Апельсиновый сок холодного хранения J7 Fresh Taste – это 100% сок без добавления сахара, который произведен с использованием щадящей технологии обработки и сохранил в себе витамины и свежий вкус спелых апельсинов. Охлажденный 100% апельсиновый сок J7 Fresh Taste – зарядись энергией вкусных фруктов!

• 100% апельсиновый сок J7 Fresh Taste без добавления сахара, консервантов и красителей
• Суточная норма витамина С в каждом стакане*
• Высокое содержание витамина В1 и калия, источник магния*
• Щадящая технология обработки
• Короткий срок хранения
• Хранить только в холодильнике
*В стакане сока 250 мл от рекомендуемой суточной нормы потребления для детей 3-х лет.",,850,0.015555555555555555,0.3058823529411765,,2025-06-13 14:07:17,
https://www.ozon.ru/product/mors-klyukva-1-l-ozon-fresh-609364514/,"Морс Клюква 1 л, Ozon fresh",0,0.0,10.4,41.6,"Ozon fresh#Для мам и детей#Детское питание#Напитки#Компоты, морсы, кисели#Ozon fresh",189,1,4.9,5993,https://cdn1.ozone.ru/s3/multimedia-1-q/7349626466.jpg,"Полезный и здоровый морс Ozon fresh без консервантов и красителей. Приготовлен из пюре ягод и сахара. Идеальный охлажденный напиток в жару.
",,1000,0.0,0.189,,2025-06-13 14:07:17,
https://www.ozon.ru/product/limonad-chernogolovka-kola-2-l-1526784956/,"Лимонад Черноголовка Кола, 2 л",0,0.0,4.7,19,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Черноголовка,135,1,4.9,116981,https://cdn1.ozone.ru/s3/multimedia-1-e/7572608978.jpg,"Классический вкус колы освежает и заряжает отличным настроением на весь день. 
В максимально вкусный состав входят:
· специально подготовленная артезианская вода для максимального освежения;
· карамельный колер для насыщенного и благородного цвета;
· углекислый газ для пузырьков и ""колючего"" вкуса;
· натуральный сахар для приятной сладости и долгого послевкусия;
· кофеин для бодрости и энергии;
· наша собственная авторская композиция натуральных ароматизаторов, которая ярче раскрывает вкус и аромат.","Вода, сахар, регулятор кислотности кислота орто-Фосфорная, краситель сахарный колер IV (Е150d), ароматизаторы, подсластители: цикламат натрия, сукралоза, сахаринат натрия; консервант бензоат натрия, кофеин (не более 150 мг/л).",2000,0.0,0.0675,,2025-06-13 14:07:17,
https://www.ozon.ru/product/mors-vishnya-1-l-ozon-fresh-609364518/,"Морс Вишня 1 л, Ozon fresh",0.1,0,10.5,42.4,"Ozon fresh#Для мам и детей#Детское питание#Напитки#Компоты, морсы, кисели#Ozon fresh",189,1,4.9,2945,https://cdn1.ozone.ru/s3/multimedia-1-2/7349624894.jpg,"Полезный и здоровый морс Ozon fresh без консервантов и красителей. Приготовлен из пюре ягод и сахара. Идеальный охлажденный напиток в жару.
","Пюре из ягод вишни быстрозамороженной, сахар, вода питьевая подготовленная. Минимальная объемная доля пюре из ягод- не менее 15%.",1000,0.002358490566037736,0.189,,2025-06-13 14:07:17,
https://www.ozon.ru/product/tonik-indian-1-l-evervess-147263316/,"Тоник Индиан 1 л, Evervess",0,0,9.4,37,Ozon fresh#Вода и напитки#Газировка и холодный чай#Тоники#Evervess,115,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-1/7541910001.jpg,"Evervess Indian Tonic — безалкогольный газированный напиток с благородной горчинкой.
Тоник станет прекрасной основой как для классических коктейлей с джином или вермутом, так и для безалкогольных напитков. Новые грани миксологии и повод отметить даже самые небольшие победы и свершения вместе с газировкой Эвервесс Индиан Тоник.

∙ Классический вкус с благородной горчинкой.
∙ Основа для приготовления классических коктейлей с тоником: джин-тоник, вермут-тоник или эспрессо-тоник.
∙ Бренд с многолетним опытом производства газированных напитков.
∙ Произведен по международным стандартам ООО “ПепсиКо Холдингс”.
∙ Доступные форматы: от 0,25 л до 1,5 л на компанию.
∙ Другие вкусы Evervess Tonic Club: Индиан Тоник, Биттер Лемон, Гранат и Аперо Тоник.
","вода, сахар, регулятор кислотности Е330, консерванты (Е211, Е202), подсластители (ацесульфам калия, сукралоза), вещество вкусоароматическое хинина гидрохлорид, ароматизатор",1000,0.0,0.115,,2025-06-13 14:07:18,
https://www.ozon.ru/product/holodnyy-chay-zelenyy-1-5-l-lipton-142401022/,"Холодный чай Зелёный 1,5 л, Lipton",0,0,4.6,19,Ozon fresh#Вода и напитки#Газировка и холодный чай#Холодный чай#Lipton,195,1,5.0,48300,https://cdn1.ozone.ru/s3/multimedia-1-w/7572608960.jpg,"Холодный зеленый чай Lipton ice tea  это то, что нужно для утоления жажды и ощущения свежести в жару или после тяжелого дня.  Холодный чай Липтон - это польза зеленого чая и бодрящий, освежающий вкус.

●С экстрактом зеленого чая. Без консервантов. Без подсластителей. Без краситей. На растительном сырье. Пастеризованный.
●Оригинальный вкус зеленого чая Липтон - это то, что нужно для утоления жажды и ощущения свежести в жару или после тяжелого дня. 
●Идеальный формат для  большой компании
●Пейте охлаждённым","вода, сахар, фруктоза, экстракт зеленого чая, регуляторы кислотности (лимонная кислота, яблочная кислота, цитрат натрия 3-замещенный), антиокислитель аскорбиновая кислота, натуральный ароматизатор, подсластитель стевиолгликозиды*. Содержит сахара и подсластитель. *подсластитель получен из растения стевия.",1500,0.0,0.13,,2025-06-13 14:07:18,
https://www.ozon.ru/product/mors-brusnika-1-l-ozon-fresh-609364513/,"Морс Брусника 1 л, Ozon fresh",0.1,0.5,10.4,42,"Ozon fresh#Для мам и детей#Детское питание#Напитки#Компоты, морсы, кисели#Ozon fresh",189,1,4.9,3515,https://cdn1.ozone.ru/s3/multimedia-1-u/7349626434.jpg,Полезный и здоровый морс Ozon fresh без консервантов и красителей. Приготовлен из пюре ягод и сахара. Идеальный охлажденный напиток в жару.,"Пюре из ягод брусники быстрозамороженной, сахар, вода питьевая подготовленная. Минимальная объемная доля пюре из ягод- не менее 15%.",1000,0.002380952380952381,0.189,,2025-06-13 14:07:18,
https://www.ozon.ru/product/gazirovannyy-napitok-evervess-cola-1-l-898585392/,"Газированный напиток Evervess Cola, 1 л",0,0.0,11.1,44,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Evervess,109,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-4/7576182760.jpg,"Evervess Cola – освежающая кола в новом стильном дизайне! Оригинальная кола с ярким насыщенным вкусом, тонкими нотками карамели и ванили.
Приятное шипение миллионов пузырьков дарит наслаждение от газировки с первого глотка.
Газированный напиток Эвервесс изготовлен в соответствии с международными стандартами качества.
Эвервесс Кола создана для тебя и твоего удовольствия!

• Оригинальная кола
• Яркий освежающий вкус
• Пейте охлажденным
• Evervess - бренд с более полувековой историей опыта производства газированных напитков
• Международные стандарты от ООО ""ПепсиКо Холдингс""
• Другие форматы: 0,25л стекло, 0,33л банка и 0,5л, 1,5л ПЭТ бутылки
",,1000,0.0,0.109,,2025-06-13 14:07:18,
https://www.ozon.ru/product/holodnyy-chay-lipton-persik-1-5-l-142401020/,"Холодный чай Lipton Персик, 1,5 л",0,0,5,19,Ozon fresh#Вода и напитки#Газировка и холодный чай#Холодный чай#Lipton,198,1,5.0,48300,https://cdn1.ozone.ru/s3/multimedia-1-y/7572608854.jpg,"Холодный чай Липтон - это удивительное сочетание вкусов чая и сока спелых фруктов. Так вкусно, что буквально переворачивает ваш взгляд на мир!

●С экстрактом черного чая. Без консервантов. Без красителей. Без  искусственных подсластителей. На растительном сырье. Пастеризованный.
●Оригинальное сочетание черного чая Липтон со вкусом  персика, освежит Ваш взгляд на мир и подарит второе дыхание для удивительных открытий и новых идей каждый день!
●Идеальный формат для  большой компании
●Пейте охлаждённым","вода, сахар, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, персиковый сок (из концентрата), ароматизатор, антиокислитель аскорбиновая кислота, подсластитель стевиолгликозиды*. Содержит сахара и подсластитель.
*подсластитель получен из растения стевия.",1500,0.0,0.132,,2025-06-13 14:07:18,
https://www.ozon.ru/product/gazirovannyy-napitok-evervess-cola-0-33-l-933551181/,"Газированный напиток Evervess Cola, 0,33 л",0,0.0,11.1,44,Ozon fresh#Вода и напитки#Газировка и холодный чай#Газировка#Evervess,75,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-g/7576183276.jpg,"Evervess Cola – освежающая кола в новом стильном дизайне! Оригинальная кола с ярким насыщенным вкусом, тонкими нотками карамели и ванили.
Приятное шипение миллионов пузырьков дарит наслаждение от газировки с первого глотка.
Газированный напиток Эвервесс изготовлен в соответствии с международными стандартами качества.
Эвервесс Кола создана для тебя и твоего удовольствия!

• Оригинальная кола
• Яркий освежающий вкус
• Пейте охлажденным
• Evervess - бренд с более полувековой историей опыта производства газированных напитков
• Международные стандарты от ООО ""ПепсиКо Холдингс""
• Другие форматы: 0,25л стекло и 0,5л, 1л, 1.5л ПЭТ бутылки
",,330,0.0,0.22727272727272727,,2025-06-13 14:07:19,
https://www.ozon.ru/product/tonik-bitter-lemon-1-l-evervess-1526948550/,"Тоник Биттер Лемон 1 л, Evervess",0,0,11.7,45,Ozon fresh#Вода и напитки#Газировка и холодный чай#Тоники#Evervess,103,1,4.9,46071,https://cdn1.ozone.ru/s3/multimedia-1-4/7576183768.jpg,"EVERVESS Tonic Club - это коллекция тоников.
Напиток газированный EVERVESS Биттер Лемон - это сбалансированный цитрусовый вкус с терпкой лимонной горчинкой.
Тоник Биттер Лемон от Эвервесс может использоваться для создания изысканных алкогольных и безалкогольных коктейлей.

Тоник со вкусом лимона Evervess Bitter Lemon
• Цитрусовый вкус с терпкой лимонной горчинкой
• Рецепты классических коктейлей на этикетке бутылки
• Удобный формат упаковки тоника на компанию 1 литр в бутылке ПЭТ
• Доступные форматы: от 0,25л до 1,5л на компанию
• Другие вкусы тоников коллекции EVERVESS Tonic Club: «Итальянский Аперо», «Индиан Тоник», «Биттер Лемон», «Имбирный Эль» и «Манящая Гранада»
• Другие вкусы современных лимонадов коллекции EVERVESS Original Club: «Пленительный Апельсин», «Блэк Роял» и «Искрящийся Лимон-Лайм»
",,1000,0.0,0.103,,2025-06-13 14:07:19,
https://www.ozon.ru/product/sok-ohlazhdennyy-j7-fresh-taste-apelsinovyy-0-3-l-295253608/,"Сок охлажденный J7 Fresh Taste Апельсиновый, 0,3 л",0,0,11,45,Ozon fresh#Вода и напитки#Соки и морсы#Фруктовые#J-7,110,1,5.0,255,https://cdn1.ozone.ru/s3/multimedia-1-p/7436273893.jpg,"Апельсиновый сок холодного хранения J7 Fresh Taste – это 100% сок без добавления сахара, который произведен с использованием щадящей технологии обработки и сохранил в себе витамины и свежий вкус спелых апельсинов. Охлажденный 100% апельсиновый сок J7 Fresh Taste в порционном формате – зарядись энергией вкусных фруктов!

• 100% апельсиновый сок J7 Fresh Taste без добавления сахара, консервантов и красителей
• Суточная норма витамина С в каждом стакане*
• Высокое содержание витамина В1 и калия, источник магния*
• Щадящая технология обработки
• Короткий срок хранения
• Хранить только в холодильнике
• Порционный формат 300мл
*В стакане сока 250 мл от рекомендуемой суточной нормы потребления для детей 3-х лет.",Сок апельсиновый,300,0.0,0.36666666666666664,,2025-06-13 14:07:19,
https://www.ozon.ru/product/holodnyy-chay-limon-1-l-lipton-142401012/,"Холодный чай Лимон 1 л, Lipton",0,0,4.6,19,Ozon fresh#Вода и напитки#Газировка и холодный чай#Холодный чай#Lipton,155,1,5.0,48300,https://cdn1.ozone.ru/s3/multimedia-1-y/7576181602.jpg,"Холодный чай Липтон со вкусом лимона это удивительное сочетание цитрусового вкуса со вкусом чая. Так вкусно, что буквально переворачивает ваш взгляд на мир!

●С экстрактом черного чая. Без консервантов. Без красителей. На растительном сырье. Пастеризованный.
●Оригинальный вкус черного чая Липтон с Лимоном, освежит Ваш взгляд на мир и подарит второе дыхание для удивительных открытий и новых идей каждый день!
●Идеальный формат для большой компании
●Пейте охлаждённым","вода, сахар, фруктоза, регуляторы кислотности (лимонная кислота, цитрат натрия 3-замещенный), экстракт черного чая, лимонный сок (из концентрата), ароматизатор, антиокислитель аскорбиновая кислота, подсластитель стевиолгликозиды*. Содержит сахара и подсластитель. *подсластитель получен из растения стевия.",1000,0.0,0.155,,2025-06-13 14:07:19,
https://www.ozon.ru/product/nektar-ohlazhdennyy-j7-fresh-taste-mango-s-myakotyu-0-85-l-1845606718/,"Нектар охлажденный J7 Fresh Taste Манго с мякотью, 0,85 л",0,0,12,50,Ozon fresh#Вода и напитки#Соки и морсы#Фруктовые#J-7,230,1,4.9,250,https://cdn1.ozone.ru/s3/multimedia-1-j/7436279683.jpg,"Новинка! J7 Fresh Taste из манго с мякотью. Произведен по щадящей технологии обработки. Хранить в холодильнике. Зарядись энергией и вкусом фруктов вместе с J7!

J7 Fresh Taste манго это –
● экзотический вкус спелого манго с мякотью
● Щадящая технология обработки
● Содержит пюре из натурального манго
● Без красителей и консервантов
● Перерабатываемая упаковка
● Пастеризованный","Пюре из манго, сахар, регулятор кислотности – лимонная кислота, вода",850,0.0,0.27058823529411763,,2025-06-13 14:07:20,
https://www.ozon.ru/product/holodnyy-chay-zelenyy-1-l-lipton-142401013/,"Холодный чай Зелёный 1 л, Lipton",0,0,4.6,19,Ozon fresh#Вода и напитки#Газировка и холодный чай#Холодный чай#Lipton,161,1,5.0,48300,https://cdn1.ozone.ru/s3/multimedia-1-4/7572608860.jpg,"Холодный зеленый чай Lipton ice tea - это то, что нужно для утоления жажды и ощущения свежести в жару или после тяжелого дня. Холодный чай Липтон - это свежесть зеленого чая и бодрящий, освежающий вкус.

●С экстрактом зеленого чая. Без консервантов. Без красителей. На растительном сырье. Пастеризованный.
●Оригинальный вкус зеленого чая Липтон - это то, что нужно для утоления жажды и ощущения свежести в жару или после тяжелого дня.
●Идеальный формат для большой компании
●Пейте охлаждённым

Продукты бренда Липтон поставляются на Озон фреш (Ozon fresh) в разных форматах: 0,5л, 1л и 1,5л.Для тех, кто любит освежающие напитки и вкусную еду. 
","вода, сахар, фруктоза, экстракт зеленого чая, регуляторы кислотности (лимонная кислота, яблочная кислота, цитрат натрия 3-замещенный), антиокислитель аскорбиновая кислота, натуральный ароматизатор, подсластитель стевиолгликозиды*. Содержит сахара и подсластитель. *подсластитель получен из растения стевия.",1000,0.0,0.161,,2025-06-13 14:07:20,
https://www.ozon.ru/product/mors-oblepiha-1-l-ozon-fresh-609364515/,"Морс Облепиха 1 л, Ozon fresh",0.1,0.5,10.4,46.5,"Ozon fresh#Для мам и детей#Детское питание#Напитки#Компоты, морсы, кисели#Ozon fresh",189,1,4.9,3502,https://cdn1.ozone.ru/s3/multimedia-1-z/7349626439.jpg,"Полезный и здоровый морс Ozon fresh без консервантов и красителей. Приготовлен из пюре ягод и сахара. Идеальный охлажденный напиток в жару.
","Пюре из ягод облепихи быстрозамороженной, сахар, вода питьевая подготовленная. Минимальная объемная доля пюре из ягод- не менее 15%.",1000,0.002150537634408602,0.189,,2025-06-13 14:07:20,
https://www.ozon.ru/product/mors-ohlazhdennyy-j7-fresh-taste-klyukva-chernika-aroniya-ezhevika-0-85-l-1845606482/,"Морс охлажденный J7 Fresh Taste Клюква-Черника-Арония-Ежевика, 0,85 л",0,0,12,50,"Ozon fresh#Для мам и детей#Детское питание#Напитки#Компоты, морсы, кисели#J-7",252,1,4.9,247,https://cdn1.ozone.ru/s3/multimedia-1-g/7436278960.jpg,"Новинка! Морс J7 Fresh Taste из клюквы, черники, черноплодной рябины и ежевики. Произведен из натуральных ягод по щадящей технологии обработки. Хранить в холодильнике. Зарядись энергией и вкусом ягод вместе с J7!

J7 Fresh Taste из клюквы, черники, аронии и ежевики это –
● Морс из натуральных ягод
● Щадящая технология обработки
● Содержит соки клюквы, черники, черноплодной рябины и пюре ежевики
● Без красителей и консервантов
● Перерабатываемая упаковка
● Пастеризованный","Сок клюквенный, сок черничный, сок из черноплодной рябины (аронии), пюре из ежевики, сахар (S)** или сахар и глюкозно-фруктозный сироп (G)**, регулятор кислотности – лимонная кислота, натуральные ароматизаторы, вода. **-буква-код используемого ингредиента – см. рядом с датой изготовления.",850,0.0,0.2964705882352941,,2025-06-13 14:07:20,
https://www.ozon.ru/product/voda-mineralnaya-borjomi-prirodnaya-lechebno-stolovaya-0-75-l-138898199/,"Вода минеральная Borjomi природная лечебно-столовая, 0,75 л",0,0,0,0,Ozon fresh#Вода и напитки#Вода#Газированная#Borjomi,150,1,4.9,47298,https://cdn1.ozone.ru/s3/multimedia-1-1/7572608965.jpg,"Borjomi — легендарная вода, которой больше 130 лет, ее знают и любят миллионы людей по всему миру. Она зарождается в вулканических глубинах Грузии в экологически чистой долине «Боржоми» и благодаря сочетанию полезных свойств вулканической воды и заряжающей силой минералов и микроэлементов Borjomi заботится о вашем здоровье, а узнаваемый с первого глотка вкус придает силы на новые свершения и идеи!","Состав мг/л: кальций - 20-150, магний - 20-150, натрий - 1000-2000, гидрокарбонаты - 3500-5000, хлориды - 250-500.",750,0,0.2,,2025-06-13 14:07:20,
https://www.ozon.ru/product/sok-ohlazhdennyy-j7-fresh-taste-yablochnyy-0-85-l-175332318/,"Сок охлажденный J7 Fresh Taste Яблочный, 0,85 л",0,0,11,45,Ozon fresh#Вода и напитки#Соки и морсы#Фруктовые#J-7,240,1,4.9,1309,https://cdn1.ozone.ru/s3/multimedia-1-n/7349629163.jpg,"Яблочный осветленный сок холодного хранения J7 Fresh Taste – это 100% сок без добавления сахара, который произведен с использованием щадящей технологии обработки и сохранил в себе витамины и свежий вкус спелых яблок. Охлажденный 100% яблочный сок J7 Fresh Taste – зарядись энергией вкусных фруктов!

• 100% яблочный осветленный сок J7 Fresh Taste без добавления сахара, консервантов и красителей
• Источник калия*
• Щадящая технология обработки
• Короткий срок хранения
• Хранить только в холодильнике
*В стакане сока 250 мл от рекомендуемой суточной нормы потребления для детей 3-х лет.","Яблочный сок, антиокислитель: аскорбиновая кислота",850,0.0,0.2823529411764706,,2025-06-13 14:07:21,
