category_name,migrated_csv_name
hleb-vypechka,"Хлеб, выпечка"
kofe-i-kakao,"Кофе и какао"
myaso-ptitsa-i-ryba,"Мясо, птица и рыба"
ohlazhdennye-napitki,"Охлажденные напитки"
supermarket-bakaleya,"Супермаркет, бакалея"
supermarket-gotovye-blyuda,"Супермаркет, готовые блюда"
supermarket-hleb-vypechka-sladosti,"Супермаркет, хлеб, выпечка, сладости"
supermarket-kolbasy-sosiski-delikatesy,"Супермаркет, колбасы, сосиски, деликатесы"
supermarket-molochnye-produkty-i-yaytsa,"Супермаркет, молочные продукты и яйца"
supermarket-orehi-sneki,"Супермаркет, орехи, снеки"
supermarket-ovoshchi-frukty-zelen,"Супермаркет, овощи, фрукты, зелень"
supermarket-voda-soki-napitki,"Супермаркет, вода, соки, напитки"
supermarket-zamorozhennye-produkty,"Супермаркет, замороженные продукты"
torty,"Торты"
sportivnoe-pitanie-111000000,"Спортивное питание"